,slink,category,catlink
159,https://smartstore.naver.com/poligon,전체상품,https://smartstore.naver.com/poligon/category/5c0877617a13450a82eb89807ccce7d2?cp=1
160,https://smartstore.naver.com/poligon,🌟 간절기잇템,https://smartstore.naver.com/poligon/category/588327b2b4d34853ae63378d837c3956?cp=1
161,https://smartstore.naver.com/poligon,👠 하객룩추천,https://smartstore.naver.com/poligon/category/a73db978845542f19e815737d6190504?cp=1
162,https://smartstore.naver.com/poligon,"⛅ 봄,가을",https://smartstore.naver.com/poligon/category/b096646cb01e4c9ea3688d08c4397e64?cp=1
163,https://smartstore.naver.com/poligon,🌞 여름,https://smartstore.naver.com/poligon/category/79802b8f4a4749d9a1030445e8750238?cp=1
164,https://smartstore.naver.com/poligon,👕 여성상의,https://smartstore.naver.com/poligon/category/798216eb73434ac49e42277daafd7457?cp=1
165,https://smartstore.naver.com/poligon,👖 여성하의,https://smartstore.naver.com/poligon/category/dd9fdb7621db41ba8dfd0b2e89982fc1?cp=1
166,https://smartstore.naver.com/poligon,"👚셔츠,블라우스",https://smartstore.naver.com/poligon/category/4a6524cad39c4b67a0c1fabf073f3ae2?cp=1
167,https://smartstore.naver.com/poligon,👗 원피스,https://smartstore.naver.com/poligon/category/af23dc7d37324dbea2bc4e998b97c20d?cp=1
168,https://smartstore.naver.com/poligon,👜 가방,https://smartstore.naver.com/poligon/category/0d58154d88524c01ad3459ce0928f8ce?cp=1
169,https://smartstore.naver.com/poligon,🔮 잡화,https://smartstore.naver.com/poligon/category/1c24ddf13f9f404482583078cb5c9e83?cp=2
170,https://smartstore.naver.com/sbeen_,BEST,https://smartstore.naver.com/sbeen_/best?cp=1
171,https://smartstore.naver.com/sbeen_,ALL,https://smartstore.naver.com/sbeen_/category/bea262b1eb25458cb76f0759283e0328?cp=1
172,https://smartstore.naver.com/sbeen_,UNISEX,https://smartstore.naver.com/sbeen_/category/a82f4e45274d41aab6eb56ef99a3535e?cp=1
173,https://smartstore.naver.com/sbeen_,OUTER하위 메뉴 있음,https://smartstore.naver.com/sbeen_/category/f6156af494a24aa4b6e7f40624cc78c7?cp=1
174,https://smartstore.naver.com/sbeen_,TOP하위 메뉴 있음,https://smartstore.naver.com/sbeen_/category/cf4b697494d34997982f84dcd1e7f079?cp=1
175,https://smartstore.naver.com/sbeen_,BOTTOM하위 메뉴 있음,https://smartstore.naver.com/sbeen_/category/61c5e5ce81964393aa341211886d32d1?cp=1
176,https://smartstore.naver.com/sbeen_,DRESS & SKIRT,https://smartstore.naver.com/sbeen_/category/26d57314c74a4cf3b0e4a2af8f60a7bf?cp=1
177,https://smartstore.naver.com/sbeen_,SET하위 메뉴 있음,https://smartstore.naver.com/sbeen_/category/f3147d45839c467598729bdaae21b1ae?cp=1
178,https://smartstore.naver.com/sbeen_,SHOES & BAG,https://smartstore.naver.com/sbeen_/category/62217fd3db894e6195fa8e6eaf91ad4c?cp=1
179,https://smartstore.naver.com/sbeen_,ACC,https://smartstore.naver.com/sbeen_/category/d055188b18e04d3eac2007ee9704a180?cp=1
180,https://smartstore.naver.com/sbeen_,HOM WEAR,https://smartstore.naver.com/sbeen_/category/59991ad7d675476aa47a7b3ed586b390?cp=1
181,https://smartstore.naver.com/sbeen_,SALE,https://smartstore.naver.com/sbeen_/category/f5744646e0d34171b2fe4c8a9b6efc0f?cp=2
182,https://smartstore.naver.com/2hingg,베스트,https://smartstore.naver.com/2hingg/best?cp=1
183,https://smartstore.naver.com/2hingg,전체상품,https://smartstore.naver.com/2hingg/category/dd41c34222f24d47a1a6371299006e7c?cp=1
184,https://smartstore.naver.com/2hingg,Earring,https://smartstore.naver.com/2hingg/category/52c8e79270544bdd9149f4663d5cc106?cp=1
185,https://smartstore.naver.com/2hingg,Piercing,https://smartstore.naver.com/2hingg/category/cc3872ce3ed94181a8b3889632da5ec2?cp=1
186,https://smartstore.naver.com/2hingg,Necklace,https://smartstore.naver.com/2hingg/category/3a9eeced4e9c41b79bbabe53f4816000?cp=1
187,https://smartstore.naver.com/2hingg,Bracelet,https://smartstore.naver.com/2hingg/category/1065b864f8de41038d2bbcd36d86a73e?cp=1
188,https://smartstore.naver.com/2hingg,Ring,https://smartstore.naver.com/2hingg/category/69f026340905493db3490e0f563143dd?cp=1
189,https://smartstore.naver.com/2hingg,Hairband,https://smartstore.naver.com/2hingg/category/54c3b61f74e84874a5ecaac1bbbb750c?cp=1
190,https://smartstore.naver.com/2hingg,Hairpin,https://smartstore.naver.com/2hingg/category/3853993eb5f94d3c9f52bb74b82ecf42?cp=1
191,https://smartstore.naver.com/2hingg,ETC,https://smartstore.naver.com/2hingg/category/8759bf5847e04f57848789604457d7b3?cp=1
192,https://smartstore.naver.com/ittoglobal,베스트,https://smartstore.naver.com/ittoglobal/best
193,https://smartstore.naver.com/ittoglobal,당일 배송 제품,https://smartstore.naver.com/ittoglobal/category/3442f422bdc34173afa5de748e884e0f
194,https://smartstore.naver.com/ittoglobal,Best,https://smartstore.naver.com/ittoglobal/category/50120dab53fd4c8f8f073707f078f1da
195,https://smartstore.naver.com/ittoglobal,옷 전체보기,https://smartstore.naver.com/ittoglobal/category/ad2dfab9b2054bd38a5eeba9c7bad6cd
196,https://smartstore.naver.com/ittoglobal,아우터,https://smartstore.naver.com/ittoglobal/category/d22189016c7f4c41b9cdb3dafe38e763
197,https://smartstore.naver.com/ittoglobal,Top (상의 1),https://smartstore.naver.com/ittoglobal/category/de55716a744843cbbf5c1a958a85f790
198,https://smartstore.naver.com/ittoglobal,Top (상의 2),https://smartstore.naver.com/ittoglobal/category/4e86e422988f4d4d8123cdb94dc736f5
